year,lat,lon,aqi,defining_CO,defining_NO2,defining_Ozone,defining_PM10,defining_PM2.5,defining_SO2,fugitive_air,stack_air,water,underground,underground_cl_i,underground_c_ii-v,landfills,rcra_c_landfill,other_landfills,land_treatment,surface_impndmnt,rcra_surface_im,other_surface_i,on-site_release_total,trns_rlse,trns_trt,total_transfers,m10,m41,m62,m40_metal,m61_metal,m71,m81,m82,m72,m63,m66,m67,m64,m65,m73,m79,m90,m94,m99,off-site_release_total,m20,m24,m26,m28,m93,off-site_recycled_total,m56,m92,m40_non-metal,m50,m54,m61_non-metal,m69,m95,off-site_treated_total,total_transfer,total_releases,releases,on-site_contained,off-site_contain,production_waste,sector_Apparel,sector_Beverages,sector_Chemical Wholesalers,sector_Chemicals,sector_Coal Mining,sector_Computers and Electronic Products,sector_Electric Utilities,sector_Electrical Equipment,sector_Fabricated Metals,sector_Food,sector_Furniture,sector_Hazardous Waste,sector_Leather,sector_Machinery,sector_Metal Mining,sector_Miscellaneous Manufacturing,sector_Nonmetallic Mineral Product,sector_Other,sector_Paper,sector_Petroleum,sector_Petroleum Bulk Terminals,sector_Plastics and Rubber,sector_Primary Metals,sector_Printing,sector_Publishing,sector_Textile Product,sector_Textiles,sector_Tobacco,sector_Transportation Equipment,sector_Wood Products,population,age-adjusted_rate,cancer_Brain and Other Nervous System,cancer_Breast,cancer_Cervix Uteri,cancer_Colon and Rectum,cancer_Corpus Uteri,cancer_Esophagus,cancer_Gallbladder,cancer_Kidney and Renal Pelvis,cancer_Larynx,cancer_Leukemias,cancer_Liver,cancer_Lung and Bronchus,cancer_Melanoma of the Skin,cancer_Myeloma,cancer_Non-Hodgkin Lymphoma,cancer_Oral Cavity and Pharynx,cancer_Ovary,cancer_Pancreas,cancer_Prostate,cancer_Stomach,cancer_Thyroid,"cancer_Urinary Bladder, invasive and in situ",life_expectancy_avg,life_expectancy_max,life_expectancy_min
2010,21,-158,39.715068493150724,0.0,0.0027397260273972564,0.23013698630136992,0.02465753424657535,0.7424657534246587,0.0,2583.912486172839,11144.868597555558,607.2469135802469,0.0,0.0,32.0816049382716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14891.14663928395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.1936962962964,0.0,0.0,0.0,1.2453086419753088,1.1358024691358024,0.8574074074074074,1602.4322148148149,0.0,222.8601234567901,442.07432098765435,0.0,0.0,664.9344444444445,4.984074074074074,8.008641975308642,0.0,42.49629629629629,22.675802469135803,0.0,0.0,0.0,65.1720987654321,2345.531474074074,16493.578854098767,0.0,0.0,1599.1936962962964,21247.316384938276,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.25925925925925924,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.5185185185185185,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,18165954.0,475.2,36.0,776.0,27.0,530.0,162.0,39.0,0.0,138.0,31.0,129.0,113.0,537.0,195.0,48.0,214.0,121.0,64.0,164.0,556.0,115.0,157.0,158.0,81.29411764705877,88.41666666666673,78.85294117647055
2010,26,-98,44.077348066298335,0.0,0.0,0.4060773480662983,0.0027624309392265192,0.5911602209944752,0.0,12.777777777777779,33.888888888888886,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,13.155555555555557,4477.777777777777,4490.933333333333,0.0,0.0,10.444444444444445,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,322.8888888888889,0.0,0.0,0.0,0.0,16.666666666666668,0.0,363.20000000000005,0.0,1458.0,132.33333333333334,0.0,0.0,1590.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4477.777777777777,6418.155555555556,410.20000000000005,0.0,0.0,322.8888888888889,11033.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,14043287.0,356.79999999999995,49.0,289.0,31.0,205.0,65.0,22.0,0.0,110.0,0.0,89.0,64.0,200.0,34.0,29.0,92.0,31.0,40.0,47.0,220.0,44.0,73.0,63.0,159.0977064220184,168.7002293577981,155.62775229357806
2010,27,-82,42.36712328767133,0.0,0.0,0.6958904109589019,0.010958904109589005,0.29315068493150537,0.0,4261.886785423197,7424.436673263952,342.46874608150466,0.0,0.0,7.987460815047022,0.0,0.0,1530.7210031347963,20.721003134796238,0.0,0.0,9.377287460815046,13597.693003201253,4.269205329153605,30.570532915360502,34.83973824451411,56.22884012539185,121.28275862068966,0.15673981191222572,0.0,0.0,0.0,84.63949843260188,0.0,0.0,0.0,0.0,0.0,507.813065830721,11.12884012539185,0.010031347962382446,72.75611285266459,2.7860501567398117,160.41364137931035,3.6334482758620688,1025.118232288401,14.396144200626958,1622.8211598746082,1618.9457253918495,0.0,543.0109717868338,3799.174001253918,101.76833855799373,95.36990595611286,1.8808777429467085,4.16614420062696,14.460815047021944,4.448275862068965,45.0,0.0,100.52664576802508,5117.6879184952995,14622.811235489651,0.0,1530.7210031347963,605.3972398119123,85012.35511496926,0.0,0.0,0.03761755485893417,0.16927899686520376,0.0,0.047021943573667714,0.11912225705329153,0.01567398119122257,0.07210031347962383,0.018808777429467086,0.003134796238244514,0.0,0.0,0.018808777429467086,0.0,0.009404388714733543,0.04075235109717868,0.034482758620689655,0.003134796238244514,0.025078369905956112,0.219435736677116,0.05642633228840126,0.0219435736677116,0.009404388714733543,0.0,0.0,0.0,0.0,0.07523510971786834,0.003134796238244514,137045170.0,1431.9999999999998,544.0,5438.0,346.0,3602.0,1081.0,346.0,90.0,1164.0,348.0,1293.0,540.0,5174.0,1508.0,605.0,1858.0,1023.0,552.0,1137.0,5460.0,598.0,970.0,1947.0,395.21373456790394,412.28600671750326,379.92493191720956
2010,28,-82,183.76712328767107,0.0,0.0,3.038356164383568,0.002739726027397254,0.8219178082191796,0.13698630136986278,1520.3740928799998,63373.45574336,72.904,0.0,0.0,0.0,0.0,0.0,10709.896,0.0,0.0,0.0,21.550408799999996,76134.15405864002,0.19208,904.2464,904.4384800000001,7.344,16.93928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443.1740800000002,720.72,0.0,0.0,14.0984,0.6512,0.0,3203.11904,0.0,26471.914960000002,15.92,0.0,181.02720000000002,26668.86216,146.272,23.88,49.536,69.68,0.0,11.272,28.528,0.0,1063.2623999999998,31105.203520000003,79337.27309864,0.0,10709.896,3163.7856,204808.58333864,0.0,0.016,0.096,0.16,0.0,0.04,0.312,0.024,0.04,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.016,0.0,0.032,0.056,0.0,0.0,0.0,0.0,0.0,0.04,0.056,11471146.0,573.4000000000004,47.0,516.0,28.0,333.0,94.0,48.0,0.0,128.0,37.0,146.0,41.0,686.0,236.0,72.0,181.0,134.0,60.0,115.0,554.0,44.0,58.0,182.0,310.11828560878365,323.25438619612464,288.3955219608463
2010,28,-81,208.06212672243163,0.0,0.0,3.7141283910824545,0.0,1.2858716089175444,0.0,603.2068645022833,11097.98068304566,5.097214611872146,0.0,0.0,0.0,0.0,0.0,3000.039406392694,9.917808219178083,0.0,0.0,91.76668858447486,14825.618071748859,0.002102283105022831,463.99543378995435,463.99753607305934,0.0,0.0,0.2922374429223744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.57634703196345,0.0,0.2876712328767123,0.0,0.0136986301369863,35.80745753424657,6.17351598173516,184.1530301369863,0.0,1319.2690410958903,795.8132420091324,0.0,332.03287671232874,2447.1151598173515,1532.7990867579908,406.1678082191781,0.0,40.07374429223744,0.0,1.6621004566210045,1.6803652968036529,186.986301369863,694.3979452054795,5264.63092785388,15009.771101885843,0.0,3070.998310502283,141.57634703196345,61958.11360449317,0.0,0.0136986301369863,0.0639269406392694,0.1552511415525114,0.0,0.0136986301369863,0.1735159817351598,0.0045662100456621,0.1598173515981735,0.0502283105022831,0.0,0.0182648401826484,0.0,0.0136986301369863,0.0,0.0,0.0730593607305936,0.0502283105022831,0.0091324200913242,0.0091324200913242,0.0593607305936073,0.0228310502283105,0.0228310502283105,0.0045662100456621,0.0,0.0,0.0,0.0,0.0547945205479452,0.0273972602739726,53178421.0,1018.2999999999963,179.0,1856.0,118.0,1187.0,399.0,137.0,26.0,415.0,123.0,497.0,229.0,2054.0,573.0,202.0,601.0,405.0,181.0,338.0,1922.0,195.0,301.0,649.0,236.12494553376803,246.42200435729882,226.52690631808235
2010,29,-81,129.50082041246424,0.0,0.0027397260273972542,2.1997365648050557,0.016483516483516467,0.7810401926840301,0.0,1329.112561344538,25066.17091596639,785.7467226890756,0.0,0.0,0.0,0.0,0.0,13927.187394957984,0.0,0.0,0.0,297.1378294117647,41810.76214705883,0.37941176470588234,347.9579831932773,348.3373949579831,0.0,0.0,0.0008403361344537816,0.0,0.0,0.0,222.42857142857142,0.0,0.0,0.0,0.0,0.0,346.63495798319326,10.289915966386555,0.0,0.0,0.0,176.82983193277312,0.0,756.5635294117646,0.0,3450.640168067227,396.1764705882353,0.0,1086.2501680672267,4933.066806722689,53.67226890756302,97.78991596638656,0.0,0.4789915966386555,0.0,0.0,0.0,0.0,348.43697478991595,6189.150084033614,42567.325676470595,0.0,13927.187394957984,579.3534453781513,199959.19920588235,0.0,0.0,0.0,0.08403361344537816,0.0,0.025210084033613446,0.16806722689075632,0.04201680672268908,0.06722689075630252,0.0,0.0,0.0,0.0,0.025210084033613446,0.0,0.05042016806722689,0.07563025210084033,0.08403361344537816,0.15966386554621848,0.025210084033613446,0.0,0.008403361344537815,0.09243697478991597,0.0,0.0,0.0,0.0,0.0,0.08403361344537816,0.008403361344537815,67092660.0,999.8999999999979,302.0,2762.0,161.0,1789.0,552.0,261.0,35.0,699.0,237.0,702.0,331.0,3468.0,932.0,300.0,831.0,663.0,306.0,580.0,2863.0,294.0,464.0,1095.0,314.27016303064266,328.32981257644843,300.9811217213212
2010,30,-98,85.58248235782482,0.0,0.0,1.6164383561643834,0.0,0.3835616438356163,0.0,39.099047619047624,16.243809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.904761904761905,0.0,0.0,0.0,247.5585714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.05904761904762,0.0,0.0,0.0,0.0,0.0,51.05904761904762,0.0,452.79761904761904,731.5446904761905,0.0,0.0,1184.3423095238095,0.0,0.0,0.0,453.0952380952381,0.0,0.0,0.0,0.0,453.0952380952381,1688.4965952380953,298.6176190476191,0.0,0.0,51.05904761904762,2733.9599285714285,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34546337.0,448.8999999999998,99.0,1002.0,65.0,486.0,158.0,54.0,17.0,232.0,32.0,182.0,154.0,669.0,204.0,89.0,243.0,152.0,98.0,146.0,659.0,75.0,241.0,170.0,472.84837576216876,487.469670415791,463.36097121269563
2010,30,-95,63.747945205479475,0.0,0.0849315068493153,0.334246575342466,0.010958904109589019,0.520547945205479,0.0493150684931507,3262.001863636364,1721.167656909091,1.409181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4986.851429636364,0.021354545454545456,0.0,0.021354545454545456,11.445454545454545,0.3372727272727273,0.0,0.0,0.0,0.0,4567.772727272727,17.172727272727272,0.0,0.0,0.0,0.0,129.78545454545454,39.07272727272727,0.0,12.027272727272727,0.023454545454545454,72.90727272727273,0.633909090909091,4851.199627272727,0.0,9325.407692727273,217.79454545454544,0.0,15.898545454545454,9559.100783636364,2062.5272727272727,1668.0545454545454,138.66363636363636,90.52727272727273,380.3363636363636,0.0,2.3363636363636364,0.0,611.8636363636364,18752.72451090909,9838.051056909091,0.0,0.0,4736.633727272728,68537.47457181817,0.0,0.0,0.15454545454545454,0.39090909090909093,0.0,0.0,0.0,0.0,0.1,0.00909090909090909,0.0,0.0,0.0,0.15454545454545454,0.0,0.01818181818181818,0.08181818181818182,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,118981629.0,489.80000000000086,364.0,3457.0,306.0,2056.0,544.0,208.0,64.0,790.0,157.0,731.0,491.0,2679.0,639.0,338.0,990.0,584.0,313.0,583.0,2997.0,325.0,643.0,686.0,231.9223798076927,240.72506337412673,216.0219667832168
2010,30,-91,273.97470672821987,0.0,0.07397260273972531,4.630136986301315,0.0,1.1808219178082286,0.11506849315068661,5003.469108675374,9052.158480845146,5300.399190221081,0.0,3653.0038143656716,0.0,0.0,0.0,735.0108395522388,0.1296641791044776,0.0,0.0,3046.805037313433,26867.06294485354,0.0,0.0,0.0,0.31551399253731344,6.53678171641791,0.0,0.0,0.0,0.0,893.60625,0.0,0.0,0.0,0.0,0.0,775.616889702985,1124.3842991604479,1.5475746268656716,1268.4412313432836,177.30868470149258,991.138635261194,13.584085447761195,5252.479945952985,1.4443097014925372,1415.1288339552239,605.2125375932836,0.0,60.10723955223881,2081.8929208022387,41393.06120201782,51.05279850746268,26.410467723880593,2073.181667295429,2107.6544815578354,75.25720242537314,8.017723880597014,0.07929104477611941,4290.6008339278915,53069.08770120842,32119.542890806515,0.0,4388.01465391791,2493.719826923135,873293.8800352408,0.0,0.0,0.04291044776119403,0.6735074626865671,0.0,0.0,0.016791044776119403,0.0,0.016791044776119403,0.002798507462686567,0.0,0.0,0.0,0.010261194029850746,0.0,0.0,0.0037313432835820895,0.026119402985074626,0.028917910447761194,0.11473880597014925,0.02332089552238806,0.03544776119402985,0.0009328358208955224,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,15740622.0,559.9000000000113,47.0,558.0,31.0,385.0,72.0,33.0,0.0,159.0,44.0,99.0,64.0,506.0,150.0,41.0,164.0,113.0,41.0,89.0,710.0,71.0,71.0,160.0,607.350016233755,619.2361684149276,552.7892657342608
2010,30,-90,298.82740462054403,0.0,0.03835616438356138,3.640245079978677,0.0,2.014549440569261,0.30684931506849106,3609.540992169766,25530.191837192502,5136.9409225077525,0.0,2227.4935400516797,0.0,0.0,0.0,481.3408010335917,9.291989664082687,0.0,0.0,3491.8036175710595,40550.13027073308,0.0,0.02454780361757106,0.02454780361757106,0.0,0.0,0.656046511627907,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.11493540051679586,7874.946408648578,26.734848837209302,25.03359173126615,1.0114987855297157,0.7467700258397932,0.18801105943152455,121.83359173126614,8051.268286710594,0.0004289405684754522,15313.170943152456,2131.7444602067185,0.0,607.7494315245478,18052.66526382429,4.05343669250646,386.03219638242894,0.7286821705426356,11805.340909552971,425.8297117002584,19686.40481136951,0.020671834625323,0.0,31918.349334431525,58412.36851804134,48601.39855744368,0.0,2708.8343410852713,7901.425443532299,987754.1908105778,0.0,0.0,0.015503875968992248,0.5607235142118863,0.0,0.0,0.007751937984496124,0.0,0.01808785529715762,0.007751937984496124,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.012919896640826873,0.0,0.0,0.29198966408268734,0.0,0.007751937984496124,0.05426356589147287,0.0,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,22745854.0,537.799999999997,80.0,902.0,55.0,590.0,107.0,57.0,0.0,260.0,69.0,138.0,122.0,891.0,169.0,94.0,262.0,181.0,80.0,158.0,904.0,110.0,146.0,254.0,456.172501319884,468.3126091560619,417.4953345834315
